Designator,Mid X,Mid Y,Rotation,Layer
J1,2.4,-7.0,0.0,bottom
J2,15.1,-7.0,0.0,bottom
J3,7.475,-9.7,90.0,top
SW1,10.75,-2.5,180.0,top
