Comment,Designator,Footprint,LCSC Part Number
74HC595,U1,SOIC-16_3.9x9.9mm_P1.27mm,C5947
100,"R7,R5,R2,R1",R_0603_1608Metric,C22775
2N7002,"Q4,Q3,Q2,Q1",SOT-23,C8545
1N4148W,"D4,D2,D1",D_SOD-123,C81598
