Comment,Designator,Footprint,LCSC Part #
74HC595,U1,SOIC-16_3.9x9.9mm_P1.27mm,C5947
1k,"R8,R7,R6,R5,R4,R3,R2,R1",R_0603_1608Metric,C21190
